09/12/2025 16:29:42.844 | Processo 2
09/12/2025 16:29:45.380 | Processo 1
09/12/2025 16:29:47.889 | Processo 4
09/12/2025 16:29:50.398 | Processo 0
09/12/2025 16:29:52.904 | Processo 3
09/12/2025 16:29:55.410 | Processo 2
09/12/2025 16:29:57.918 | Processo 1
09/12/2025 16:30:00.425 | Processo 4
09/12/2025 16:30:02.931 | Processo 0
09/12/2025 16:30:05.448 | Processo 3
09/12/2025 16:30:07.956 | Processo 2
09/12/2025 16:30:10.469 | Processo 1
09/12/2025 16:30:12.975 | Processo 4
09/12/2025 16:30:15.483 | Processo 0
09/12/2025 16:30:17.989 | Processo 3
09/12/2025 16:30:20.494 | Processo 2
09/12/2025 16:30:23.001 | Processo 1
09/12/2025 16:30:25.509 | Processo 4
09/12/2025 16:30:28.014 | Processo 0
09/12/2025 16:30:30.520 | Processo 3
09/12/2025 16:30:33.028 | Processo 2
09/12/2025 16:30:35.531 | Processo 1
09/12/2025 16:30:38.040 | Processo 4
09/12/2025 16:30:40.545 | Processo 0
09/12/2025 16:30:43.052 | Processo 3
